City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,ranau,MY,73.4,moderate rain,5.9538,116.6641,Ranau Backpackers Hostel
177,catamarca,AR,62.01,light rain,-28.4696,-65.7852,Amerian Catamarca Park Hotel
178,deogarh,IN,81.55,clear sky,21.5333,84.7333,RM Hostel
182,vila velha,BR,73.0,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
186,mandvi,IN,76.8,clear sky,22.8333,69.3667,Jitendra Guest House
187,salina cruz,MX,70.95,scattered clouds,16.1667,-95.2,Amerik HOTEL
188,mahon,ES,51.8,clear sky,39.8885,4.2658,ARTIEM Capri
190,naze,JP,55.4,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
191,lichtenburg,ZA,75.99,clear sky,-26.151999999999997,26.1597,Kennzy Guest House
192,mackay,AU,82.4,scattered clouds,-21.15,149.2,International Lodge Motel
194,marzuq,YE,73.45,scattered clouds,14.4,46.4667,
197,tomatlan,MX,67.68,overcast clouds,19.9333,-105.25,Norma franco
198,ban nahin,LA,84.0,overcast clouds,18.2418,104.2122,
200,saint-joseph,RE,86.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
203,kenscoff,HT,71.6,overcast clouds,18.4506,-72.2869,Auberzazage Sur La Montagne
205,puerto escondido,MX,75.11,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
208,trairi,BR,79.2,overcast clouds,-3.2778,-39.2689,janelas do mar
209,sao jose da coroa grande,BR,76.12,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
210,pandan,PH,80.42,overcast clouds,14.0453,124.1694,Bonifacio Lodge
211,kavieng,PG,84.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
212,comodoro rivadavia,AR,53.6,clear sky,-45.8667,-67.5,Austral Hotel
213,bubaque,GW,75.43,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
217,celestun,MX,64.35,overcast clouds,20.8667,-90.4,Posada Lilia
219,cockburn town,TC,77.76,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
220,axim,GH,78.57,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
222,sao joao da barra,BR,73.24,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
223,padang,ID,89.6,light rain,-0.9492,100.3543,Mercure Padang
224,mount gambier,AU,68.0,clear sky,-37.8333,140.7667,Commodore on the Park
227,georgetown,MY,87.01,few clouds,5.4112,100.3354,Cititel Penang
228,mecca,SA,72.19,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
229,los llanos de aridane,ES,64.4,overcast clouds,28.6585,-17.9182,Valle Aridane
231,rocha,UY,65.86,clear sky,-34.4833,-54.3333,Beleza Pura B&B
233,port lincoln,AU,66.09,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
234,cocal,BR,71.76,overcast clouds,-28.6167,-49.35,Motel Tropical
235,cayenne,GF,77.0,light rain,4.9333,-52.3333,Hôtel Le Dronmi
236,bandarbeyla,SO,78.24,clear sky,9.4942,50.8122,JABIR HOTEL
238,manggar,ID,77.36,overcast clouds,-2.8833,108.2667,Guest Hotel
