City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,verkhnevilyuysk,RU,2021-01-17 06:42:14,63.4453,120.3167,-39.78,80,100,5.86,overcast clouds
256,parry sound,CA,2021-01-17 06:30:08,45.3501,-80.033,33.8,80,100,10.89,light snow
257,mehamn,NO,2021-01-17 06:33:49,71.0357,27.8492,35.67,87,100,14.5,overcast clouds
258,norman wells,CA,2021-01-17 06:34:19,65.282,-126.8329,-7.6,84,1,5.75,clear sky
259,tanout,NE,2021-01-17 06:33:48,14.9709,8.8879,66.13,24,0,8.84,clear sky
260,wilmington,US,2021-01-17 06:34:09,34.2257,-77.9447,39.99,60,1,10.36,clear sky
261,tokmak,UA,2021-01-17 06:42:14,47.2514,35.7058,17.4,93,100,14.03,overcast clouds
262,nemuro,JP,2021-01-17 06:42:14,43.3236,145.575,19.4,58,75,3.44,broken clouds
263,college,US,2021-01-17 06:32:43,64.8569,-147.8028,12.99,71,75,4.47,broken clouds
264,dwarka,IN,2021-01-17 06:34:15,22.2394,68.9678,77.56,31,0,3.51,clear sky
265,aksarka,RU,2021-01-17 06:33:14,66.5606,67.7975,-10.07,89,100,17.22,overcast clouds
266,pacifica,US,2021-01-17 06:42:14,37.6138,-122.4869,57.0,87,1,3.44,clear sky
